,Rep,Complete Task
0,1,4
1,2,4
2,3,0
3,4,7
4,5,0
5,6,0
6,7,0
7,8,8
8,9,8
9,10,5
10,11,6
11,12,6
12,13,0
13,14,0
14,15,3
15,16,0
16,17,1
17,18,0
18,19,0
19,20,6
20,21,0
21,22,0
22,23,0
23,24,6
24,25,9
25,26,7
26,27,7
27,28,2
28,29,0
29,30,0
30,31,0
31,32,6
32,33,0
33,34,0
34,35,4
35,36,0
36,37,8
37,38,6
38,39,0
39,40,0
40,41,0
41,42,0
42,43,0
43,44,7
44,45,0
45,46,1
46,47,8
47,48,2
48,49,0
49,50,7
