,Contact Group,Rep,Abandon,Waiting Time,NIQ
4,1,3,0.08139534883720931,0.7134648488372093,0.11198442962962968
5,2,3,0.0989010989010989,1.3216650549450548,0.24389017407407376
6,1,4,0.07017543859649122,0.5869974561403509,0.061960842592592186
7,2,4,0.023255813953488372,0.38295565116279073,0.05822624074074047
8,1,5,0.10588235294117647,0.8079237882352942,0.12302447592592586
9,2,5,0.10416666666666667,0.58273759375,0.10363458148148143
10,1,6,0.08333333333333333,0.5277154761904762,0.08271401481481469
11,2,6,0.09523809523809523,1.1188307047619048,0.22451532222222192
12,1,7,0.03488372093023256,0.5617527325581395,0.09104768148148132
13,2,7,0.03125,0.6765903333333333,0.12122037777777717
14,1,8,0.0759493670886076,0.7148707341772151,0.10744725555555551
15,2,8,0.09782608695652174,1.2541271739130435,0.20931132592592666
16,1,9,0.09195402298850575,0.7771146666666666,0.1246211018518519
17,2,9,0.047619047619047616,0.39075167857142856,0.06080211296296326
18,1,10,0.05952380952380952,0.6566931190476191,0.10113207037037016
19,2,10,0.04716981132075472,0.7209472641509435,0.13706075370370382
20,1,11,0.03296703296703297,0.6414614505494506,0.1071485240740739
21,2,11,0.09090909090909091,0.4408494431818182,0.07769539074074
22,1,12,0.0963855421686747,0.8747864939759037,0.13006182592592624
23,2,12,0.030612244897959183,0.5009541224489796,0.09259068333333341
24,1,13,0.11538461538461539,0.7946762692307693,0.11323215185185201
25,2,13,0.05263157894736842,0.5873264631578947,0.10332595185185206
26,1,14,0.08411214953271028,0.8225742990654206,0.17288735925925952
27,2,14,0.06818181818181818,0.9660726136363637,0.15163713333333387
28,1,15,0.12048192771084337,0.7900793012048193,0.12156516666666696
29,2,15,0.03409090909090909,0.5080849772727273,0.08905635925925948
30,1,16,0.05813953488372093,0.7299732558139536,0.1092186814814818
31,2,16,0.061946902654867256,0.6359291946902655,0.1267885444444443
32,1,17,0.11578947368421053,0.9061898421052632,0.1627036425925923
33,2,17,0.07317073170731707,0.9196298170731707,0.13953827037037037
34,1,18,0.05128205128205128,0.5769612435897437,0.08117415370370389
35,2,18,0.04950495049504951,0.6964426831683168,0.12109393518518544
36,1,19,0.13186813186813187,0.9630476593406594,0.16135614444444468
37,2,19,0.08256880733944955,0.679921137614679,0.13387640185185204
38,1,20,0.09900990099009901,0.8710397722772276,0.16121715000000097
39,2,20,0.09174311926605505,1.1040225963302752,0.22167987222222213
40,1,21,0.1111111111111111,0.854600074074074,0.1352360407407405
41,2,21,0.06451612903225806,0.6855000430107526,0.11834025185185235
42,1,22,0.12643678160919541,0.7932978505747127,0.13084114259259283
43,2,22,0.07142857142857142,0.6291198163265306,0.1043732407407408
44,1,23,0.10784313725490197,0.9327581764705882,0.17927753333333332
45,2,23,0.09278350515463918,0.9765871134020618,0.1828943777777786
46,1,24,0.08860759493670886,0.6761111139240507,0.10079160185185282
47,2,24,0.058823529411764705,1.2666414215686275,0.2566729870370368
48,1,25,0.04878048780487805,0.6448963292682927,0.09320766666666631
49,2,25,0.03260869565217391,0.30395379347826085,0.04880477222222207
50,1,26,0.05154639175257732,0.6178800721649484,0.10050457777777816
51,2,26,0.030927835051546393,0.45741638144329894,0.08381966666666604
52,1,27,0.09375,0.76794765625,0.14233626296296292
53,2,27,0.07608695652173914,0.8778352608695653,0.1492522111111114
54,1,28,0.034482758620689655,0.6259978045977012,0.10047684444444477
55,2,28,0.07216494845360824,0.6200102164948453,0.11137220555555527
56,1,29,0.06818181818181818,0.8087733409090909,0.11565721111111113
57,2,29,0.04040404040404041,0.9480873434343434,0.15935576296296294
58,1,30,0.09195402298850575,0.9168498850574712,0.15134658518518487
59,2,30,0.0594059405940594,1.1843058811881189,0.22413575555555562
60,1,31,0.16831683168316833,1.0795669801980199,0.19480852407407367
61,2,31,0.08823529411764706,0.7778916960784314,0.15152329444444457
62,1,32,0.09782608695652174,0.7837984673913043,0.14231482592592581
63,2,32,0.1,0.9313162100000001,0.1721124796296295
64,1,33,0.05434782608695652,0.7089155652173913,0.12124775370370383
65,2,33,0.03896103896103896,0.4806524675324676,0.06535640925925897
66,1,34,0.125,0.7801951363636364,0.12842079814814772
67,2,34,0.06896551724137931,0.6494186206896552,0.09964813518518437
68,1,35,0.08791208791208792,0.7327885824175825,0.11531295370370437
69,2,35,0.09523809523809523,0.9373162285714286,0.1822897648148144
70,1,36,0.10526315789473684,0.8578553684210527,0.15006309999999956
71,2,36,0.08490566037735849,0.7401101509433963,0.14883609259259234
72,1,37,0.10638297872340426,0.780921670212766,0.13612935370370396
73,2,37,0.09090909090909091,0.6750393295454545,0.11127598518518493
74,1,38,0.09900990099009901,0.6701847128712871,0.1285111259259257
75,2,38,0.07291666666666667,0.7275197083333333,0.12019017592592543
76,1,39,0.07526881720430108,0.6841321720430108,0.11599107222222231
