,Contact Group,Rep,Abandon,Waiting Time,NIQ
8,1,5,0.047058823529411764,0.6470485882352941,0.09505624259259242
9,2,5,0.08333333333333333,0.32657033333333335,0.05809373518518511
10,1,6,0.05952380952380952,0.43068978571428573,0.06762112962962949
11,2,6,0.02857142857142857,0.4239396285714286,0.07977153518518477
12,1,7,0.0,0.38602538372093026,0.06306147407407382
13,2,7,0.020833333333333332,0.5360359791666667,0.0962329370370364
14,1,8,0.08860759493670886,0.8140472531645568,0.12195641296296314
15,2,8,0.03260869565217391,0.7712356630434783,0.12694646111111185
16,1,9,0.04597701149425287,0.648414540229885,0.10388608148148154
17,2,9,0.10714285714285714,0.6665274047619048,0.10370055925925953
18,1,10,0.047619047619047616,0.583150869047619,0.09120495925925895
19,2,10,0.02830188679245283,0.46072752830188685,0.08598058333333342
20,1,11,0.06593406593406594,0.7138697362637363,0.11912022962962937
21,2,11,0.03409090909090909,0.3880414886363637,0.05706954074074006
22,1,12,0.07228915662650602,0.7715198072289158,0.11703130185185234
23,2,12,0.01020408163265306,0.29859803061224494,0.055866799999999994
24,1,13,0.038461538461538464,0.5847858205128206,0.08291464259259265
25,2,13,0.010526315789473684,0.22207945263157894,0.039069533333333566
26,1,14,0.04672897196261682,0.6607895700934578,0.14083001481481502
27,2,14,0.022727272727272728,0.2527404204545455,0.03689405555555593
28,1,15,0.0963855421686747,0.7081281807228915,0.1089689759259263
29,2,15,0.022727272727272728,0.3998179772727273,0.06904516111111131
30,1,16,0.023255813953488372,0.6145572209302326,0.09083760925925957
31,2,16,0.035398230088495575,0.41388130973451326,0.08032296851851843
32,1,17,0.05263157894736842,0.7862429578947369,0.14160187592592566
33,2,17,0.04878048780487805,0.36588814634146344,0.05514129259259262
34,1,18,0.02564102564102564,0.49549383333333336,0.06940663888888904
35,2,18,0.0297029702970297,0.5919386336633663,0.09865897777777807
36,1,19,0.04395604395604396,0.7930145824175824,0.1288468240740745
37,2,19,0.03669724770642202,0.3929035963302753,0.07594137962962991
38,1,20,0.0891089108910891,0.829934504950495,0.15778465370370437
39,2,20,0.01834862385321101,0.5831582293577982,0.11273439074074054
40,1,21,0.04938271604938271,0.6227135925925926,0.09677716296296292
41,2,21,0.03225806451612903,0.31300852688172043,0.05418893518518565
42,1,22,0.06896551724137931,0.675587448275862,0.11187668888888916
43,2,22,0.030612244897959183,0.38457208163265305,0.059992355555555564
44,1,23,0.058823529411764705,0.7303304607843137,0.13997842962962967
45,2,23,0.020618556701030927,0.22598813402061857,0.045377944444444956
46,1,24,0.0379746835443038,0.5563252025316456,0.08219065740740826
47,2,24,0.0196078431372549,0.5517387843137255,0.10697524074074032
48,1,25,0.13414634146341464,0.9370415487804878,0.13757045925925904
49,2,25,0.03260869565217391,0.5672922934782608,0.09366984999999989
50,1,26,0.08247422680412371,0.7192068762886599,0.11870587407407436
51,2,26,0.061855670103092786,0.6186295670103092,0.11277833148148088
52,1,27,0.125,0.8816448229166666,0.15942502037037037
53,2,27,0.0,0.4886570869565217,0.08294778148148155
54,1,28,0.011494252873563218,0.5374650344827586,0.0862132314814818
55,2,28,0.030927835051546393,0.28858286597938143,0.05183803333333312
56,1,29,0.022727272727272728,0.6091226818181817,0.08312154814814814
57,2,29,0.0,0.560898888888889,0.08837121296296298
58,1,30,0.04597701149425287,0.6938526551724138,0.11541925370370335
59,2,30,0.0,0.3902931089108911,0.070423514814815
60,1,31,0.0891089108910891,0.8122889702970296,0.14481763703703654
61,2,31,0.029411764705882353,0.3784305490196078,0.05802496296296316
62,1,32,0.10869565217391304,0.830359152173913,0.1360206592592594
63,2,32,0.07,0.46892646,0.08852341851851823
64,1,33,0.021739130434782608,0.5985229565217391,0.10244012407407416
65,2,33,0.012987012987012988,0.3029720649350649,0.04002049999999978
66,1,34,0.056818181818181816,0.5976629772727272,0.0963228777777772
67,2,34,0.022988505747126436,0.39599089655172415,0.05881811296296218
68,1,35,0.06593406593406594,0.6898958791208791,0.10565159444444502
69,2,35,0.0380952380952381,0.47313560952380956,0.09203242222222141
70,1,36,0.05263157894736842,0.6974640842105264,0.12011994629629595
71,2,36,0.03773584905660377,0.43370087735849056,0.08868908703703675
72,1,37,0.09574468085106383,0.8503883297872341,0.1391200759259261
73,2,37,0.056818181818181816,0.70113225,0.11552816481481434
74,1,38,0.09900990099009901,0.6960083663366337,0.1333411055555553
75,2,38,0.0625,0.6557396249999999,0.10742927222222173
76,1,39,0.043010752688172046,0.5717261505376344,0.09663225740740747
77,2,39,0.02247191011235955,0.2662018202247191,0.04097435740740776
78,1,40,0.06451612903225806,0.7012375806451614,0.11613101666666682
79,2,40,0.021052631578947368,0.23254504210526314,0.040910701851852534
80,1,41,0.07,0.72453632,0.12365483703703697
81,2,41,0.043010752688172046,0.32929602150537635,0.04943733333333383
82,1,42,0.06741573033707865,0.729597202247191,0.12460524444444482
83,2,42,0.0,0.35930606818181815,0.05859061851851858
84,1,43,0.014084507042253521,0.5177365774647887,0.0670876925925927
85,2,43,0.010752688172043012,0.2994747741935484,0.05326139629629643
86,1,44,0.0898876404494382,0.6698282696629214,0.11834865740740749
87,2,44,0.05970149253731343,0.3814567462686567,0.041856233333333756
88,1,45,0.023255813953488372,0.30362523255813956,0.048298246296296705
89,2,45,0.02631578947368421,0.5978669999999999,0.12739670555555568
90,1,46,0.03125,0.539285984375,0.063133646296296
91,2,46,0.03614457831325301,0.4640063734939759,0.06024014999999948
92,1,47,0.0641025641025641,0.6796943717948718,0.09979250740740689
93,2,47,0.06666666666666667,0.7798817555555555,0.12924105185185147
94,1,48,0.10989010989010989,0.7053276043956044,0.12030804814814797
95,2,48,0.03225806451612903,0.6296068709677419,0.1417738388888887
96,1,49,0.0379746835443038,0.46426910126582277,0.06688663148148155
97,2,49,0.012345679012345678,0.10966275308641975,0.016480555555555346
98,1,50,0.16483516483516483,1.0399038241758243,0.16734162777777714
99,2,50,0.0,0.1885646222222222,0.03124473518518496
