,Expert Group,Rep,Utilization
0,1,1,12.958325
1,2,1,12.40666655882353
2,3,1,6.538332058823531
0,1,2,15.561443235294124
1,2,2,12.824893088235298
2,3,2,9.187563764705892
0,1,3,12.748797235294116
1,2,3,13.130450147058818
2,3,3,10.419498000000004
0,1,4,9.313310411764704
1,2,4,13.777668264705884
2,3,4,6.427914882352943
0,1,5,14.250409117647061
1,2,5,13.547158499999998
2,3,5,6.9239928823529375
0,1,6,13.973851176470582
1,2,6,14.062152264705887
2,3,6,8.19812235294118
0,1,7,13.74410735294118
1,2,7,15.187000000000001
2,3,7,8.140973823529418
0,1,8,12.912633823529411
1,2,8,12.55344694117648
2,3,8,6.636713117647065
0,1,9,13.246633941176476
1,2,9,12.003036852941179
2,3,9,8.212950705882346
0,1,10,14.604303176470594
1,2,10,16.88682294117647
2,3,10,9.113454176470592
0,1,11,14.043644823529425
1,2,11,13.46611085294118
2,3,11,8.13018317647058
0,1,12,12.939451117647067
1,2,12,14.399330529411769
2,3,12,8.078119823529413
0,1,13,12.637008176470585
1,2,13,13.036655970588239
2,3,13,7.950452117647056
0,1,14,14.380244000000001
1,2,14,12.812338205882355
2,3,14,9.8632531764706
0,1,15,12.96855811764706
1,2,15,13.135782294117647
2,3,15,7.3610345882352854
0,1,16,13.561420588235293
1,2,16,15.980169499999995
2,3,16,10.081794470588243
0,1,17,14.387777529411762
1,2,17,11.28671438235294
2,3,17,8.35087282352941
0,1,18,13.851701176470597
1,2,18,14.011482088235288
2,3,18,8.94515747058824
0,1,19,13.304174058823534
1,2,19,15.388341764705883
2,3,19,9.539283
0,1,20,14.270042529411768
1,2,20,14.821819882352937
2,3,20,10.411291117647067
0,1,21,11.648683058823526
1,2,21,13.217734735294117
2,3,21,8.780167117647057
0,1,22,12.95118964705882
1,2,22,13.20801064705882
2,3,22,9.681343882352946
0,1,23,15.16377829411764
1,2,23,13.667104235294113
2,3,23,8.871293294117653
0,1,24,13.902406235294121
1,2,24,13.827681264705877
2,3,24,8.230313941176478
0,1,25,13.172816705882356
1,2,25,12.89740461764706
2,3,25,8.11531617647059
0,1,26,15.150315117647063
1,2,26,14.247396588235294
2,3,26,8.994588470588237
0,1,27,15.335624764705885
1,2,27,13.024243235294117
2,3,27,8.087003529411772
0,1,28,14.235468
1,2,28,12.663953558823534
2,3,28,8.479188882352949
0,1,29,14.829840882352947
1,2,29,15.406223176470586
2,3,29,9.996455058823521
0,1,30,14.69577929411765
1,2,30,14.82041035294117
2,3,30,10.21203635294117
0,1,31,14.630378882352941
1,2,31,16.06054323529412
2,3,31,9.435390705882353
0,1,32,13.572432411764714
1,2,32,13.559114470588232
2,3,32,8.986722882352947
0,1,33,15.552256000000007
1,2,33,11.928521647058822
2,3,33,9.469441882352934
0,1,34,11.79362858823529
1,2,34,12.64966914705882
2,3,34,8.709982117647057
0,1,35,14.04815394117647
1,2,35,14.320567970588241
2,3,35,9.420471352941181
0,1,36,14.240628588235282
1,2,36,15.386367852941177
2,3,36,8.9667425882353
0,1,37,12.738376588235292
1,2,37,14.012373470588232
2,3,37,7.366201647058823
0,1,38,14.685792176470596
1,2,38,13.965948764705884
2,3,38,9.28258635294118
0,1,39,13.835295882352927
1,2,39,13.955440676470584
2,3,39,8.516145117647064
0,1,40,13.850292647058822
1,2,40,14.011438176470584
2,3,40,8.678973529411765
0,1,41,13.874085
1,2,41,12.858223470588236
2,3,41,10.583084823529415
0,1,42,13.978916470588228
1,2,42,13.819863117647063
2,3,42,8.806585764705883
0,1,43,11.64432705882353
1,2,43,15.147118029411766
2,3,43,7.879337647058825
0,1,44,14.46442494117648
1,2,44,9.649801029411769
2,3,44,5.234398352941176
0,1,45,13.81345376470587
1,2,45,16.00083652941177
2,3,45,7.373146117647059
0,1,46,10.296199705882358
1,2,46,10.444644470588232
2,3,46,6.451122411764705
0,1,47,12.241414411764712
1,2,47,12.490054264705881
2,3,47,6.627136882352941
0,1,48,13.913703588235293
1,2,48,17.071827705882352
2,3,48,11.378011058823525
0,1,49,13.040807764705889
1,2,49,12.568653999999999
2,3,49,7.129133941176474
0,1,50,13.992464882352936
1,2,50,12.423031735294117
2,3,50,9.285938823529412
